[INFO ] 2021-05-10 11:23:45.614 [http-nio-8881-exec-3] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 11:24:07.809 [http-nio-8881-exec-1] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 11:24:40.205 [http-nio-8881-exec-7] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 11:25:01.308 [http-nio-8881-exec-1] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 11:25:08.489 [http-nio-8881-exec-2] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 11:27:15.342 [http-nio-8881-exec-5] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 11:29:03.380 [http-nio-8881-exec-2] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 11:29:19.469 [http-nio-8881-exec-8] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 11:30:09.258 [http-nio-8881-exec-6] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 11:32:32.938 [http-nio-8881-exec-5] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 11:32:48.515 [http-nio-8881-exec-7] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
